,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
10/1/1989,,7792,7806.5,,4597.2,4612.4,,3194.8,3194.1,,6174.7,6183.4,,4237.3,4249.6,,1937.4,1933.8,,1617.3,1623.1,,360,362.8,,1257.3,1260.3,,59.5,59.6,,71.3,71.5,,48.1,48.1,,490.7,456400,,260.8,242.6,,229.9,213.8,,376.1,346.7,,226.3,210.4,,149.8,136.3,,114.6,109.8,,34.5,32.2,,80.1,77.5,,5.9,5.5,,5.4,5,,6.7,6.3,,5.7,5.3,,5.1,4.7,,7.2,6.6,,6.6,6.3,,8.7,8.2,,6,5.8,,8282.7,8262.9,,4858,4855,,3424.7,3407.9,,63.3,63.1,,75.3,75.3,,51.6,51.3,4830.5,1596.1,3234.5,13093.4,6451,6642.4
11/1/1989,,7844.6,7862.4,,4626.2,4623.5,,3218.4,3238.8,,6214.5,6205.3,,4255.9,4249.4,,1958.5,1955.9,,1630.2,1657.1,,370.3,374.1,,1259.9,1282.9,,59.8,60,,71.6,71.6,,48.4,48.7,,481.8,445300,,257.1,239.4,,224.7,206,,374.1,349.1,,225.3,212.8,,148.9,136.3,,107.7,96.2,,31.9,26.6,,75.8,69.7,,5.8,5.4,,5.3,4.9,,6.5,6,,5.7,5.3,,5,4.8,,7.1,6.5,,6.2,5.5,,7.9,6.6,,5.7,5.2,,8326.5,8307.7,,4883.3,4862.9,,3443.1,3444.8,,63.5,63.4,,75.6,75.3,,51.8,51.8,4805.5,1598,3207.5,13113.2,6460.8,6652.3
12/1/1989,,7829.8,7935.5,,4603.5,4660.1,,3226.3,3275.4,,6188.9,6288.8,,4229.8,4287.1,,1959.1,2001.7,,1640.8,1646.7,,373.7,373,,1267.1,1273.7,,59.6,60.4,,71.1,72,,48.4,49.2,,486.3,501000,,267.3,276.6,,219.1,224.4,,386.2,397.9,,239.2,244.7,,147,153.2,,100.1,103,,28.1,31.9,,72.1,71.1,,5.8,5.9,,5.5,5.6,,6.4,6.4,,5.9,6,,5.4,5.4,,7,7.1,,5.8,5.9,,7,7.9,,5.4,5.3,,8316.1,8436.5,,4870.8,4936.7,,3445.3,3499.8,,63.3,64.2,,75.3,76.3,,51.7,52.5,4696.6,1534,3162.6,13133.1,6470.8,6662.3
1/1/1990,,7839.3,7707.7,,4615.4,4574,,3223.9,3133.7,,6206,6187.1,,4245,4225.5,,1961.1,1961.6,,1633.2,1520.6,,370.4,348.5,,1262.8,1172.1,,59.6,58.6,,71.2,70.6,,48.3,47,,510.4,549300,,279.9,309.9,,230.5,239.4,,403.1,445.8,,246.6,272.7,,156.5,173,,107.3,103.5,,33.3,37.2,,74,66.4,,6.1,6.7,,5.7,6.3,,6.7,7.1,,6.1,6.7,,5.5,6.1,,7.4,8.1,,6.2,6.4,,8.2,9.6,,5.5,5.4,,8349.7,8257,,4895.3,4883.9,,3454.5,3373.1,,63.5,62.8,,75.5,75.4,,51.8,50.6,4894.3,1595.8,3298.5,13151.3,6479.7,6671.5
2/1/1990,,7846.5,7803,,4606.2,4596.5,,3240.3,3206.5,,6201.9,6207.5,,4236.5,4246.8,,1965.4,1960.7,,1644.6,1595.5,,369.7,349.6,,1275,1245.8,,59.6,59.3,,71,70.8,,48.5,48,,535.8,592700,,287.7,310.6,,248.1,282.1,,416.4,459.1,,253.2,273.1,,163.2,186,,119.3,133.6,,34.5,37.5,,84.9,96.1,,6.4,7.1,,5.9,6.3,,7.1,8.1,,6.3,6.9,,5.6,6,,7.7,8.7,,6.8,7.7,,8.5,9.7,,6.2,7.2,,8382.3,8395.7,,4893.8,4907.1,,3488.4,3488.6,,63.7,63.8,,75.4,75.6,,52.2,52.2,4773.6,1581.5,3192.1,13169.3,6488.6,6680.7
3/1/1990,,7860.9,7874.1,,4609,4612.2,,3251.9,3262,,6212,6202.8,,4241.5,4234.6,,1970.5,1968.2,,1648.9,1671.3,,367.5,377.6,,1281.4,1293.7,,59.6,59.7,,70.9,71,,48.6,48.8,,518.3,547900,,289.3,297.6,,229,250.3,,404.4,412.8,,252.4,255,,152,157.8,,113.9,135.1,,36.9,42.6,,77,92.5,,6.2,6.5,,5.9,6.1,,6.6,7.1,,6.1,6.2,,5.6,5.7,,7.2,7.4,,6.5,7.5,,9.1,10.1,,5.7,6.7,,8379.2,8422.1,,4898.3,4909.8,,3480.9,3512.3,,63.5,63.9,,75.4,75.6,,52,52.5,4765.5,1587.8,3177.7,13187.5,6497.6,6690
4/1/1990,,7866.1,7887.9,,4612.3,4620.9,,3253.8,3267.1,,6202,6190.3,,4240.2,4236.8,,1961.9,1953.5,,1664,1697.6,,372.1,384.1,,1291.9,1313.6,,59.6,59.7,,70.9,71,,48.6,48.8,,527.1,533200,,299.4,296.4,,227.6,236.7,,417.1,414.8,,262.5,257.8,,154.7,157,,109.9,118.4,,37,38.6,,72.9,79.7,,6.3,6.3,,6.1,6,,6.5,6.8,,6.3,6.3,,5.8,5.7,,7.3,7.4,,6.2,6.5,,9,9.1,,5.3,5.7,,8393.1,8421.1,,4911.7,4917.3,,3481.4,3503.8,,63.6,63.8,,75.5,75.6,,52,52.3,4783.6,1588.5,3195.1,13204.7,6505.8,6698.9
5/1/1990,,7899.6,7908.5,,4628.8,4623.5,,3270.8,3284.9,,6233.2,6210.7,,4251.6,4239.6,,1981.6,1971.1,,1666.4,1697.8,,377.2,384,,1289.1,1313.8,,59.7,59.8,,71.1,71,,48.8,49,,549.6,548600,,310.4,309.6,,239.2,239.1,,431,429.3,,274.1,273.5,,156.9,155.8,,118.5,119.3,,36.3,36.1,,82.3,83.2,,6.5,6.5,,6.3,6.3,,6.8,6.8,,6.5,6.5,,6.1,6.1,,7.3,7.3,,6.6,6.6,,8.8,8.6,,6,6,,8449.2,8457.1,,4939.2,4933.1,,3509.9,3524,,63.9,64,,75.8,75.7,,52.3,52.5,4764.7,1580.9,3183.9,13221.8,6514,6707.9
6/1/1990,,7900.1,7900.3,,4627.3,4622.5,,3272.8,3277.8,,6233,6204.7,,4258.6,4248.8,,1974.4,1955.9,,1667.1,1695.6,,368.7,373.7,,1298.4,1321.9,,59.7,59.7,,70.9,70.9,,48.7,48.8,,559.1,539600,,310,296.8,,249.1,242.8,,447.5,435.2,,277.2,267.7,,170.3,167.5,,111.6,104.4,,32.8,29.1,,78.8,75.3,,6.6,6.4,,6.3,6,,7.1,6.9,,6.7,6.6,,6.1,5.9,,7.9,7.9,,6.3,5.8,,8.2,7.2,,5.7,5.4,,8459.2,8439.8,,4937.2,4919.3,,3522,3520.5,,63.9,63.7,,75.7,75.4,,52.4,52.4,4799.4,1603,3196.4,13239.2,6522.3,6716.9
7/1/1990,,7898.3,7919.4,,4612.7,4628.8,,3285.6,3290.7,,6230.7,6258.2,,4243.4,4260.7,,1987.3,1997.5,,1667.6,1661.2,,369.3,368.1,,1298.4,1293.2,,59.6,59.7,,70.6,70.9,,48.9,48.9,,602.7,567000,,344.1,325.2,,258.6,241.8,,482,457.8,,303.6,290.8,,178.4,167.1,,120.7,109.2,,40.5,34.5,,80.2,74.7,,7.1,6.7,,6.9,6.6,,7.3,6.8,,7.2,6.8,,6.7,6.4,,8.2,7.7,,6.7,6.2,,9.9,8.6,,5.8,5.5,,8501,8486.5,,4956.8,4954,,3544.2,3532.5,,64.1,64,,75.9,75.9,,52.7,52.5,4768.2,1575.5,3192.7,13254.7,6529.5,6725.2
8/1/1990,,7868.8,7808,,4600.9,4562,,3267.9,3246,,6214.1,6141.5,,4235.3,4196.9,,1978.8,1944.6,,1654.7,1666.5,,365.6,365.1,,1289.1,1301.4,,59.3,58.8,,70.4,69.8,,48.5,48.2,,611.6,584600,,346,336,,265.6,248.6,,491.4,475.7,,308.8,303.3,,182.6,172.4,,120.2,108.8,,37.2,32.7,,83,76.1,,7.2,7,,7,6.9,,7.5,7.1,,7.3,7.2,,6.8,6.7,,8.4,8.1,,6.8,6.1,,9.2,8.2,,6.1,5.5,,8480.4,8392.5,,4946.9,4898,,3533.5,3494.6,,63.9,63.2,,75.7,74.9,,52.5,51.9,4877.5,1638.7,3238.8,13270.1,6536.7,6733.4
9/1/1990,,7844.3,7905.5,,4593.9,4614.1,,3250.4,3291.4,,6196.1,6210.8,,4226.7,4235.4,,1969.4,1975.4,,1648.1,1694.7,,367.2,378.7,,1281,1316.1,,59,59.5,,70.2,70.5,,48.2,48.8,,624.5,625000,,360.6,361.1,,264,263.9,,500,491.1,,319.6,318.4,,180.4,172.8,,124.5,133.9,,41,42.7,,83.5,91.2,,7.4,7.3,,7.3,7.3,,7.5,7.4,,7.5,7.3,,7,7,,8.4,8,,7,7.3,,10,10.1,,6.1,6.5,,8468.8,8530.6,,4954.4,4975.2,,3514.4,3555.4,,63.7,64.2,,75.7,76,,52.1,52.7,4755.1,1568.8,3186.3,13285.7,6544,6741.7
10/1/1990,,7829.6,7848.9,,4573.4,4589.3,,3256.2,3259.6,,6151.7,6165.3,,4201.6,4215.2,,1950.1,1950.1,,1677.9,1683.6,,371.8,374.2,,1306.1,1309.5,,58.9,59,,69.8,70,,48.2,48.3,,647.4,603100,,377.3,351.8,,270.1,251.3,,520,481,,335.9,312.9,,184.1,168.1,,127.4,122.1,,41.4,38.8,,86,83.3,,7.6,7.1,,7.6,7.1,,7.7,7.2,,7.8,7.2,,7.4,6.9,,8.6,7.9,,7.1,6.8,,10,9.4,,6.2,6,,8477.1,8452,,4950.7,4941.1,,3526.3,3510.9,,63.7,63.5,,75.6,75.4,,52.2,52,4851.3,1611.4,3239.9,13303.3,6552.5,6750.8
11/1/1990,,7809.9,7826.9,,4553.1,4550.8,,3256.8,3276.1,,6133.2,6125.2,,4181,4176.2,,1952.2,1949,,1676.7,1701.7,,372,374.6,,1304.6,1327.1,,58.6,58.8,,69.4,69.4,,48.2,48.5,,674.2,625800,,404.1,377.7,,270.1,248.1,,546.9,512,,360.9,341.6,,186,170.4,,127.2,113.8,,43.1,36.1,,84.1,77.7,,7.9,7.4,,8.2,7.7,,7.7,7,,8.2,7.7,,7.9,7.6,,8.7,8,,7.1,6.3,,10.4,8.8,,6.1,5.5,,8484.1,8452.7,,4957.1,4928.6,,3526.9,3524.1,,63.7,63.5,,75.6,75.1,,52.2,52.1,4868,1632.4,3235.6,13320.7,6561,6759.8
12/1/1990,,7812.9,7915.5,,4551.5,4608.2,,3261.4,3307.4,,6130.4,6229.4,,4178.4,4236.3,,1952,1993.1,,1682.5,1686.1,,373.1,371.9,,1309.4,1314.2,,58.6,59.3,,69.3,70.1,,48.2,48.9,,681.1,700800,,401.5,414.5,,279.6,286.3,,552.6,568.7,,358,365.9,,194.6,202.7,,128.5,132.2,,43.5,48.6,,85,83.6,,8,8.1,,8.1,8.3,,7.9,8,,8.3,8.4,,7.9,8,,9.1,9.2,,7.1,7.3,,10.4,11.6,,6.1,6,,8494,8616.4,,4953,5022.7,,3541,3593.7,,63.7,64.6,,75.4,76.5,,52.3,53.1,4722,1546.9,3175.2,13338.4,6569.6,6768.8
1/1/1991,,7747.1,7641.3,,4513.8,4494.4,,3233.2,3146.9,,6083.4,6104.6,,4133.7,4135.4,,1949.6,1969.2,,1663.7,1536.7,,380.1,359,,1283.6,1177.7,,58,57.2,,68.6,68.3,,47.7,46.4,,710.2,763300,,417.3,458.8,,292.9,304.6,,573.9,631.3,,378.8,415.8,,195.1,215.5,,136.3,132,,38.5,43,,97.8,89,,8.4,9.1,,8.5,9.3,,8.3,8.8,,8.6,9.4,,8.4,9.1,,9.1,9.9,,7.6,7.9,,9.2,10.7,,7.1,7,,8457.3,8404.6,,4931.1,4953.1,,3526.2,3451.5,,63.3,62.9,,75,75.3,,52,50.9,4948.9,1623.4,3325.5,13353.5,6576.5,6777
2/1/1991,,7757.9,7708.8,,4515.5,4501.8,,3242.4,3206.9,,6043.4,6044.3,,4117,4123.7,,1926.4,1920.6,,1714.5,1664.5,,398.6,378.2,,1316,1286.3,,58,57.7,,68.6,68.4,,47.8,47.3,,731.6,807500,,433.7,468.4,,297.9,339.2,,591.3,649.7,,387.1,417,,204.3,232.7,,140.2,157.9,,46.6,51.4,,93.6,106.5,,8.6,9.5,,8.8,9.4,,8.4,9.6,,8.9,9.7,,8.6,9.2,,9.6,10.8,,7.6,8.7,,10.5,12,,6.6,7.6,,8489.5,8516.3,,4949.2,4970.2,,3540.3,3546.1,,63.5,63.7,,75.2,75.5,,52.2,52.3,4852.2,1613.2,3239,13368.5,6583.5,6785.1
3/1/1991,,7701.3,7715.4,,4478.2,4481,,3223.1,3234.4,,5997.3,5987.3,,4087.8,4079.9,,1909.5,1907.4,,1704,1728.1,,390.5,401.1,,1313.5,1327,,57.5,57.6,,68,68,,47.4,47.6,,778.7,818700,,466.1,478.4,,312.6,340.3,,631.8,644.4,,416.7,421.3,,215.1,223.1,,146.9,174.2,,49.4,57.1,,97.5,117.2,,9.2,9.6,,9.4,9.6,,8.8,9.5,,9.5,9.7,,9.3,9.4,,10.1,10.5,,7.9,9.2,,11.2,12.5,,6.9,8.1,,8480,8534.1,,4944.3,4959.4,,3535.7,3574.7,,63.4,63.8,,75,75.3,,52,52.6,4849.5,1631.1,3218.5,13383.6,6590.4,6793.2
4/1/1991,,7696,7717.2,,4462.1,4470.6,,3233.9,3246.6,,5975.5,5963.3,,4055.2,4052.1,,1920.3,1911.2,,1720.5,1754,,406.9,418.6,,1313.6,1335.4,,57.4,57.6,,67.6,67.8,,47.5,47.7,,842,849500,,503.1,498.4,,338.9,351.1,,680.7,677.6,,447.1,440.1,,233.6,237.5,,161.3,171.9,,56,58.2,,105.3,113.7,,9.9,9.9,,10.1,10,,9.5,9.8,,10.2,10.2,,9.9,9.8,,10.8,11.1,,8.6,8.9,,12.1,12.2,,7.4,7.8,,8537.9,8566.7,,4965.1,4969,,3572.8,3597.7,,63.7,63.9,,75.3,75.3,,52.5,52.9,4832.2,1628.6,3203.6,13398.9,6597.6,6801.3
5/1/1991,,7694,7703.7,,4464.1,4460.4,,3229.9,3243.3,,5980.9,5959.3,,4063.4,4052.9,,1917.5,1906.4,,1713.2,1744.4,,400.8,407.5,,1312.4,1336.9,,57.4,57.4,,67.6,67.5,,47.4,47.6,,807.9,805400,,482,480.9,,325.9,324.5,,670.6,667.9,,432.1,431.4,,238.6,236.5,,137.3,137.5,,50,49.5,,87.3,88,,9.5,9.5,,9.7,9.7,,9.2,9.1,,10.1,10.1,,9.6,9.6,,11.1,11,,7.4,7.3,,11.1,10.8,,6.2,6.2,,8502,8509.1,,4946.2,4941.3,,3555.8,3567.9,,63.4,63.4,,74.9,74.8,,52.2,52.4,4905,1663.4,3241.5,13414.1,6604.7,6809.4
6/1/1991,,7659.1,7678.1,,4435.1,4449.4,,3224,3228.6,,5946.2,5930.5,,4032.6,4033.8,,1913.6,1896.7,,1712.8,1747.6,,402.5,415.6,,1310.4,1332,,57,57.2,,67.1,67.3,,47.3,47.4,,807.5,757700,,488.4,456.5,,319.1,301.2,,676.9,638.2,,447.6,422.6,,229.3,215.7,,130.6,119.4,,40.8,33.9,,89.8,85.5,,9.5,9,,9.9,9.3,,9,8.5,,10.2,9.7,,10,9.5,,10.7,10.2,,7.1,6.4,,9.2,7.5,,6.4,6,,8466.6,8435.7,,4923.5,4905.9,,3543.1,3529.8,,63,62.8,,74.5,74.2,,52,51.8,4993.6,1705.9,3287.6,13429.3,6611.8,6817.5
7/1/1991,,7627.3,7583,,4410.9,4398.2,,3216.4,3184.8,,5923.7,5900.9,,4011.6,4007.4,,1912.1,1893.5,,1703.7,1682.1,,399.4,390.8,,1304.3,1291.2,,56.7,56.4,,66.6,66.4,,47.1,46.7,,818.4,797400,,495.8,484.8,,322.6,312.6,,686.9,675.9,,452.3,444.9,,234.6,231,,131.5,121.5,,43.5,39.9,,87.9,81.5,,9.7,9.5,,10.1,9.9,,9.1,8.9,,10.4,10.3,,10.1,10,,10.9,10.9,,7.2,6.7,,9.8,9.3,,6.3,5.9,,8445.7,8380.4,,4906.8,4883,,3538.9,3497.3,,62.8,62.3,,74.1,73.8,,51.8,51.2,5065,1736.5,3328.5,13445.4,6619.6,6825.8
8/1/1991,,7638.1,7620.7,,4422.8,4398.6,,3215.3,3222.1,,5931,5902.2,,4017.8,3993.3,,1913.2,1908.9,,1707.1,1718.5,,404.9,405.3,,1302.2,1313.2,,56.7,56.6,,66.7,66.4,,47.1,47.1,,828.8,796600,,508.3,495.5,,320.5,301.1,,697,677.4,,465.4,458.1,,231.6,219.3,,131.8,119.2,,42.9,37.4,,88.9,81.8,,9.8,9.5,,10.3,10.1,,9.1,8.5,,10.5,10.3,,10.4,10.3,,10.8,10.3,,7.2,6.5,,9.6,8.4,,6.4,5.9,,8466.9,8417.3,,4931,4894.1,,3535.8,3523.2,,62.9,62.5,,74.4,73.9,,51.7,51.6,5043.3,1732.7,3310.6,13460.6,6626.8,6833.9
9/1/1991,,7645.4,7713.2,,4423.4,4446.1,,3222,3267.1,,5934.5,5952.3,,4015.6,4025.2,,1918.9,1927.1,,1710.8,1760.9,,407.7,420.9,,1303.1,1340,,56.7,57.2,,66.7,67,,47.1,47.8,,852.6,854100,,513.1,515,,339.6,339.2,,712.9,703.4,,468.5,468.2,,244.5,235.3,,139.7,150.7,,44.6,46.8,,95.1,103.9,,10,10,,10.4,10.4,,9.5,9.4,,10.7,10.6,,10.4,10.4,,11.3,10.9,,7.5,7.9,,9.9,10,,6.8,7.2,,8498,8567.4,,4936.4,4961.1,,3561.6,3606.3,,63.1,63.6,,74.4,74.8,,52.1,52.7,4908.5,1672.9,3235.7,13475.9,6634,6841.9
10/1/1991,,7616.2,7638,,4410.8,4426.2,,3205.4,3211.7,,5939.5,5955.2,,4020.9,4034.2,,1918.6,1921,,1676.7,1682.7,,389.8,392,,1286.8,1290.7,,56.5,56.6,,66.4,66.7,,46.8,46.9,,845,789000,,518.5,484.8,,326.5,304.3,,716,665.2,,476,444.7,,240,220.5,,129,123.8,,42.5,40.1,,86.5,83.7,,10,9.4,,10.5,9.9,,9.2,8.7,,10.8,10,,10.6,9.9,,11.1,10.3,,7.1,6.9,,9.8,9.3,,6.3,6.1,,8461.2,8427,,4929.3,4911,,3532,3516,,62.7,62.5,,74.2,74,,51.6,51.3,5061.1,1728.6,3332.5,13488.1,6639.6,6848.5
11/1/1991,,7597.1,7614.9,,4409.4,4408.3,,3187.7,3206.7,,5858.8,5853.8,,3983.4,3980.7,,1875.3,1873.2,,1738.3,1761.1,,425.9,427.6,,1312.4,1333.5,,56.3,56.4,,66.4,66.3,,46.5,46.8,,862.8,806200,,522,491.3,,340.7,314.8,,732.2,688.7,,482.3,458,,249.9,230.7,,130.6,117.4,,39.7,33.3,,90.9,84.1,,10.2,9.6,,10.6,10,,9.7,8.9,,11.1,10.5,,10.8,10.3,,11.8,11,,7,6.3,,8.5,7.2,,6.5,5.9,,8459.9,8421.1,,4931.4,4899.6,,3528.5,3521.5,,62.7,62.4,,74.2,73.7,,51.5,51.4,5079.3,1745.6,3333.7,13500.4,6645.2,6855.2
12/1/1991,,7616.8,7712.2,,4406.1,4459.1,,3210.7,3253,,5897.5,5990.8,,4001.4,4056.4,,1896,1934.4,,1719.3,1721.3,,404.6,402.7,,1314.7,1318.7,,56.4,57.1,,66.2,67,,46.8,47.4,,891.1,906000,,536.4,546.2,,354.6,359.8,,741.7,753.5,,486.7,491.5,,255,262,,149.3,152.6,,49.7,54.7,,99.6,97.8,,10.5,10.5,,10.9,10.9,,9.9,10,,11.2,11.2,,10.8,10.8,,11.9,11.9,,8,8.1,,10.9,12,,7,6.9,,8507.9,8618.2,,4942.5,5005.3,,3565.4,3612.8,,63,63.8,,74.3,75.3,,52,52.7,4894.5,1645.5,3249,13512.7,6650.9,6861.8
1/1/1992,,7632.7,7518.9,,4407.3,4382.9,,3225.4,3136.1,,5896.1,5905.9,,3993,3990.4,,1903.1,1915.5,,1736.6,1613.1,,414.3,392.5,,1322.3,1220.6,,56.4,55.6,,66.2,65.8,,46.9,45.6,,881,948600,,531,581.1,,349.9,367.4,,740.1,809.9,,486.2,531.1,,253.9,278.8,,140.8,138.6,,44.8,50,,96,88.6,,10.3,11.2,,10.8,11.7,,9.8,10.5,,11.2,12.1,,10.9,11.7,,11.8,12.7,,7.5,7.9,,9.8,11.3,,6.8,6.8,,8513.7,8467.5,,4938.3,4964,,3575.3,3503.5,,62.9,62.6,,74.2,74.5,,52,51,5063.2,1695.8,3367.4,13530.7,6659.9,6870.9
2/1/1992,,7650.1,7597.2,,4417.2,4400.4,,3232.9,3196.8,,5883.9,5881.7,,3972.2,3976.8,,1911.6,1905,,1766.3,1715.5,,445,423.6,,1321.3,1291.9,,56.5,56.1,,66.2,66,,47,46.5,,888.5,982800,,538.6,583.2,,349.9,399.6,,750,825.9,,491.7,531.1,,258.3,294.8,,138.5,156.8,,46.9,52,,91.6,104.8,,10.4,11.5,,10.9,11.7,,9.8,11.1,,11.3,12.3,,11,11.8,,11.9,13.4,,7.3,8.4,,9.5,10.9,,6.5,7.5,,8538.6,8579.9,,4955.8,4983.5,,3582.8,3596.4,,63,63.3,,74.3,74.7,,52.1,52.3,4968.8,1685.3,3283.5,13548.8,6668.9,6879.9
3/1/1992,,7630.9,7646.2,,4408.3,4411.5,,3222.6,3234.7,,5868.3,5858,,3972.5,3964.8,,1895.8,1893.2,,1762.6,1788.1,,435.7,446.6,,1326.8,1341.5,,56.2,56.4,,66,66.1,,46.8,47,,894.9,935300,,545.6,557.8,,349.4,377.5,,757.5,772.5,,503.2,509,,254.3,263.5,,137.4,162.8,,42.3,48.8,,95.1,114,,10.5,10.9,,11,11.2,,9.8,10.4,,11.4,11.7,,11.2,11.4,,11.8,12.2,,7.2,8.3,,8.9,9.9,,6.7,7.8,,8525.8,8581.4,,4953.8,4969.3,,3572,3612.1,,62.8,63.3,,74.2,74.4,,51.9,52.4,4985.4,1708.6,3276.8,13566.8,6677.9,6888.9
4/1/1992,,7624.5,7644.1,,4408.1,4416.4,,3216.4,3227.7,,5851.2,5838.1,,3970.2,3966.7,,1881,1871.4,,1773.4,1806,,438,449.7,,1335.4,1356.3,,56.2,56.3,,66,66.1,,46.7,46.8,,891.7,894600,,542.7,537.2,,349.1,357.4,,762.8,758.4,,502.2,495.3,,260.6,263.1,,129,136.2,,40.5,41.9,,88.5,94.3,,10.5,10.5,,11,10.8,,9.8,10,,11.5,11.5,,11.2,11.1,,12.2,12.3,,6.8,7,,8.5,8.5,,6.2,6.5,,8516.3,8538.7,,4950.8,4953.6,,3565.4,3585.1,,62.7,62.9,,74.1,74.1,,51.7,52,5038.7,1729.3,3309.4,13577.4,6682.9,6894.5
5/1/1992,,7621,7631.4,,4404,4401.4,,3217,3230,,5843.6,5822.7,,3951.7,3941.7,,1892,1881,,1777.3,1808.7,,452.3,459.8,,1325,1349,,56.1,56.2,,65.9,65.8,,46.6,46.8,,905.4,901700,,556.9,555.5,,348.6,346.2,,775.3,771.5,,515.4,514.5,,259.9,257,,130.1,130.2,,41.5,41.1,,88.6,89.1,,10.6,10.6,,11.2,11.2,,9.8,9.7,,11.7,11.7,,11.5,11.5,,12.1,12,,6.8,6.7,,8.4,8.2,,6.3,6.2,,8526.4,8533.1,,4960.9,4956.9,,3565.5,3576.1,,62.7,62.8,,74.2,74.1,,51.7,51.8,5054.8,1731,3323.9,13587.9,6687.9,6900
